Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
4,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,16,18,7,11,54,54,0,72,2022-10
1,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,11,16,7,9,49,49,0,65,2022-1
3,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,13,16,8,8,49,49,0,65,2022-7
1,صُنع الورق ومنتجات الورق,21,5,2,3,60,60,0,65,2022-1
4,الأنشطة المهنية والعلمية والتقنية الأخرى,31,1,0,1,63,59,4,64,2022-10
3,الأنشطة المهنية والعلمية والتقنية الأخرى,31,2,1,1,61,57,4,63,2022-7
2,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,13,9,6,3,54,54,0,63,2022-4
1,الأنشطة المهنية والعلمية والتقنية الأخرى,26,2,2,0,61,58,3,63,2022-1
2,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,13,7,4,3,53,53,0,60,2022-4
2,الأنشطة المهنية والعلمية والتقنية الأخرى,27,1,1,0,59,56,3,60,2022-4
2,صنع المعدات الكهربائية,10,9,5,4,50,50,0,59,2022-4
3,صنع المعدات الكهربائية,10,13,7,6,44,44,0,57,2022-7
1,توصيل الكهرباء والغاز والبخار وتكييف الهواء,7,16,11,5,40,32,8,56,2022-1
3,الاتصالات,14,4,1,3,48,48,0,52,2022-7
2,توصيل الكهرباء والغاز والبخار وتكييف الهواء,8,12,7,5,40,32,8,52,2022-4
4,صنع المعدات الكهربائية,9,8,4,4,42,42,0,50,2022-10
1,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,12,5,3,2,42,42,0,47,2022-1
2,الطباعة واستنساخ وسائط الأعلام المسجّلة,8,8,3,5,39,38,1,47,2022-4
4,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,11,5,6,36,36,0,47,2022-10
3,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,8,3,5,37,37,0,45,2022-7
2,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,16,5,2,3,40,40,0,45,2022-4
1,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,16,5,2,3,40,40,0,45,2022-1
1,الطباعة واستنساخ وسائط الأعلام المسجّلة,7,9,3,6,36,35,1,45,2022-1
4,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,12,6,2,4,38,38,0,44,2022-10
1,صنع المعدات الكهربائية,9,6,4,2,38,38,0,44,2022-1
3,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,12,4,1,3,39,39,0,43,2022-7
1,أنشطة خدمات المعلومات,2,7,7,0,36,36,0,43,2022-1
4,الاتصالات,13,1,1,0,39,39,0,40,2022-10
1,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,24,22,2,15,15,0,39,2022-1
1,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,9,0,0,0,35,35,0,35,2022-1
4,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,12,10,0,10,25,25,0,35,2022-10
3,استخراج النفط الخام والغاز الطبيعي,8,8,7,1,27,26,1,35,2022-7
2,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,21,20,1,14,14,0,35,2022-4
4,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14,5,5,0,29,29,0,34,2022-10
3,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,16,5,5,0,29,29,0,34,2022-7
2,استخراج النفط الخام والغاز الطبيعي,9,6,6,0,27,26,1,33,2022-4
3,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,19,18,1,14,14,0,33,2022-7
2,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,11,1,0,1,32,32,0,33,2022-4
4,استخراج النفط الخام والغاز الطبيعي,8,5,5,0,27,26,1,32,2022-10
4,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,12,5,3,2,27,27,0,32,2022-10
3,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,13,3,1,2,29,29,0,32,2022-7
4,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,20,19,1,11,11,0,31,2022-10
2,تعدين ركازات الفلزات,9,0,0,0,29,29,0,29,2022-4
2,صناعة معدات النقل الأخرى,7,1,0,1,28,26,2,29,2022-4
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,11,2,2,0,26,26,0,28,2022-7
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,13,2,2,0,25,25,0,27,2022-4
4,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3,2,0,2,25,25,0,27,2022-10
3,صناعة معدات النقل الأخرى,5,1,0,1,25,25,0,26,2022-7
3,تعدين ركازات الفلزات,7,0,0,0,26,26,0,26,2022-7
1,صناعة معدات النقل الأخرى,6,3,0,3,23,21,2,26,2022-1
1,صنع الحواسيب والمنتجات الإلكترونية والبصرية,11,1,0,1,25,25,0,26,2022-1
2,الأنشطة البيطرية,10,0,0,0,26,26,0,26,2022-4
4,توصيل الكهرباء والغاز والبخار وتكييف الهواء,9,4,3,1,22,22,0,26,2022-10
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,1,0,1,22,22,0,23,2022-1
2,صنع الحواسيب والمنتجات الإلكترونية والبصرية,9,2,0,2,21,21,0,23,2022-4
3,توصيل الكهرباء والغاز والبخار وتكييف الهواء,8,3,3,0,20,20,0,23,2022-7
1,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,2,1,1,20,20,0,22,2022-1
1,الأنشطة البيطرية,8,0,0,0,21,21,0,21,2022-1
3,الأنشطة البيطرية,9,2,2,0,19,19,0,21,2022-7
1,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,7,1,1,0,20,20,0,21,2022-1
1,النقل المائي,8,1,0,1,20,20,0,21,2022-1
1,تعدين ركازات الفلزات,8,0,0,0,21,21,0,21,2022-1
4,تعدين ركازات الفلزات,5,0,0,0,20,20,0,20,2022-10
3,النقل المائي,7,0,0,0,20,20,0,20,2022-7
4,صناعة معدات النقل الأخرى,5,1,0,1,19,19,0,20,2022-10
1,استخراج النفط الخام والغاز الطبيعي,5,2,1,1,18,17,1,20,2022-1
2,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,18,18,0,19,2022-4
3,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,3,2,0,2,17,17,0,19,2022-7
2,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,18,18,0,18,2022-4
3,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,1,17,17,0,18,2022-7
4,النقل المائي,7,0,0,0,18,18,0,18,2022-10
4,الأنشطة البيطرية,10,1,1,0,17,17,0,18,2022-10
2,النقل المائي,8,0,0,0,18,18,0,18,2022-4
3,صنع الحواسيب والمنتجات الإلكترونية والبصرية,7,1,0,1,16,16,0,17,2022-7
2,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,2,0,2,15,15,0,17,2022-4
1,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,16,16,0,16,2022-1
4,الرعاية مع الإقامة,1,11,4,7,4,0,4,15,2022-10
4,صنع الحواسيب والمنتجات الإلكترونية والبصرية,6,1,0,1,14,14,0,15,2022-10
4,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,1,13,13,0,14,2022-10
3,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,1,1,0,13,13,0,14,2022-7
4,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,13,13,0,13,2022-10
1,الرعاية مع الإقامة,1,8,0,8,4,0,4,12,2022-1
4,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,12,12,0,12,2022-10
3,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2022-7
2,الرعاية مع الإقامة,1,6,0,6,4,0,4,10,2022-4
3,الرعاية مع الإقامة,1,6,0,6,4,0,4,10,2022-7
2,النقل الجوي,2,0,0,0,10,10,0,10,2022-4
3,النقل الجوي,2,1,1,0,8,8,0,9,2022-7
2,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,1,1,0,7,7,0,8,2022-4
2,صُنع المنتجات الجلدية والمنتجات ذات الصلة,4,3,0,3,5,5,0,8,2022-4
1,النقل الجوي,2,0,0,0,8,8,0,8,2022-1
1,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,8,8,0,8,2022-1
2,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1,0,0,0,8,8,0,8,2022-4
