region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة مكة المكرمة,صنع منتجات المطاط واللدائن,456,3169,1956,1213,9285,9251,34,12454
منطقة نجران,أنشطة التشييد المتخصصة,1311,1261,628,633,11182,11157,25,12443
منطقة القصيم,صنع منتجات المعادن اللافلزية الأخرى,627,2487,1602,885,9374,9363,11,11861
منطقة القصيم,الهندسة المدنية,320,1635,1039,596,10169,10121,48,11804
منطقة عسير,الصحة البشرية,366,4140,1214,2926,7409,3224,4185,11549
منطقة الرياض,الأنشطة الرياضية وأنشطة التسلية والترفيه,1263,4373,1983,2390,7160,5929,1231,11533
منطقة عسير,النقل البري و النقل عبر الأنابيب,2133,1675,948,727,9433,9416,17,11108
المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,209,4438,3688,750,6635,6615,20,11073
منطقة الرياض,صُنع الورق ومنتجات الورق,387,2986,1357,1629,8075,8027,48,11061
المنطقة الشرقية,الصرف الصحي,134,1631,1028,603,9376,9022,354,11007
منطقة نجران,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3390,1398,626,772,9343,9251,92,10741
منطقة مكة المكرمة,توصيل الكهرباء والغاز والبخار وتكييف الهواء,151,8799,8567,232,1883,1878,5,10682
منطقة المدينة المنورة,الصحة البشرية,326,3660,1168,2492,6850,3343,3507,10510
منطقة مكة المكرمة,أبحاث الإعلان والسوق,2088,3443,1497,1946,6999,6421,578,10442
المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,783,2598,1378,1220,7637,7605,32,10235
منطقة الحدود الشمالية,تشييد المباني,2118,762,389,373,9403,9357,46,10165
منطقة المدينة المنورة,صنع منتجات المعادن اللافلزية الأخرى,343,2749,1825,924,7381,7366,15,10130
المنطقة الشرقية,صُنع الملبوسات,2581,1406,511,895,8641,8196,445,10047
منطقة المدينة المنورة,أنشطة الخدمات الشخصية الأخرى,3524,781,249,532,9077,7496,1581,9858
منطقة المدينة المنورة,الإقامة,780,3946,2688,1258,5910,5822,88,9856
منطقة جازان,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,3207,917,677,240,8935,8900,35,9852
المنطقة الشرقية,أنشطة الأمن والتحقيقات,98,9748,8893,855,69,69,0,9817
منطقة الرياض,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,481,1844,968,876,7911,7840,71,9755
منطقة حائل,أنشطة خدمات الأطعمة والمشروبات,2372,1213,612,601,8432,8378,54,9645
منطقة الجوف,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3092,1550,864,686,8006,7947,59,9556
منطقة الرياض,أنشطة النشر,495,5513,3180,2333,3997,3715,282,9510
المنطقة الشرقية,صنع المعدات الكهربائية,199,3914,3260,654,5577,5543,34,9491
منطقة نجران,أنشطة تقديم الخدمات للمباني وتجميل المواقع,205,1778,1071,707,7577,7462,115,9355
منطقة عسير,صنع منتجات المعادن اللافلزية الأخرى,485,2316,1458,858,6905,6896,9,9221
منطقة المدينة المنورة,أنشطة تقديم الخدمات للمباني وتجميل المواقع,776,1296,762,534,7867,7695,172,9163
المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,159,6469,6209,260,2504,2501,3,8973
المنطقة الشرقية,صنع منتجات المطاط واللدائن,261,2479,1755,724,6405,6395,10,8884
منطقة مكة المكرمة,الأنشطة القانونية وأنشطة المحاسبة,1333,5548,3312,2236,3323,3133,190,8871
منطقة المدينة المنورة,الهندسة المدنية,372,1676,1026,650,6983,6919,64,8659
منطقة المدينة المنورة,النقل البري و النقل عبر الأنابيب,1377,1339,700,639,7148,7133,15,8487
منطقة مكة المكرمة,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,279,1493,677,816,6988,6804,184,8481
منطقة عسير,أنشطة الخدمات الشخصية الأخرى,3431,576,216,360,7898,7198,700,8474
منطقة مكة المكرمة,النقل الجوي,111,7417,6611,806,1017,675,342,8434
منطقة الجوف,تشييد المباني,2034,913,560,353,7392,7264,128,8305
منطقة مكة المكرمة,صُنع الورق ومنتجات الورق,202,2494,1494,1000,5749,5702,47,8243
منطقة جازان,أنشطة التشييد المتخصصة,2719,443,250,193,7728,7681,47,8171
المنطقة الشرقية,صنع الأثاث,778,1632,705,927,6402,6365,37,8034
منطقة عسير,صُنع المنتجات الغذائية,834,1322,676,646,6405,6391,14,7727
منطقة الرياض,صناعة الآلات والمعدات غير المصنفة في موضع أخر,433,1853,938,915,5859,5827,32,7712
المنطقة الشرقية,صنع فحم الكوك والمنتجات النفطية المكررة,52,4973,4797,176,2681,2670,11,7654
منطقة مكة المكرمة,صُنع المشروبات,174,2366,1470,896,5227,5213,14,7593
منطقة القصيم,أنشطة الخدمات الشخصية الأخرى,2715,630,213,417,6938,5952,986,7568
منطقة تبوك,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,2208,860,548,312,6698,6682,16,7558
المنطقة الشرقية,الإقامة,622,2679,1474,1205,4828,4721,107,7507
منطقة جازان,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,2021,1219,661,558,6225,6186,39,7444
منطقة المدينة المنورة,صُنع المنتجات الغذائية,834,1504,865,639,5931,5877,54,7435
منطقة مكة المكرمة,أنشطة العمل الاجتماعي، دون إقامة,717,4961,1741,3220,2352,1884,468,7313
المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,1042,3141,2235,906,4086,4009,77,7227
منطقة نجران,أنشطة خدمات الأطعمة والمشروبات,1872,749,278,471,6466,6408,58,7215
منطقة مكة المكرمة,صنع الأثاث,1025,1236,465,771,5953,5905,48,7189
منطقة مكة المكرمة,الصناعة التحويلية الأخرى,312,1716,978,738,5455,5385,70,7171
منطقة المدينة المنورة,التعليم,332,4209,1082,3127,2694,2105,589,6903
المنطقة الشرقية,صُنع الورق ومنتجات الورق,141,1851,1165,686,4991,4975,16,6842
منطقة القصيم,الصحة البشرية,246,2247,790,1457,4593,2251,2342,6840
منطقة الرياض,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,760,1378,636,742,5247,5141,106,6625
منطقة مكة المكرمة,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,397,4619,3374,1245,1999,1925,74,6618
منطقة القصيم,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),1384,950,531,419,5621,5611,10,6571
منطقة عسير,أنشطة تقديم الخدمات للمباني وتجميل المواقع,476,793,605,188,5777,5465,312,6570
منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,1076,2214,1337,877,4331,4186,145,6545
منطقة الحدود الشمالية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2254,830,393,437,5648,5606,42,6478
منطقة عسير,الهندسة المدنية,265,1051,716,335,5289,5287,2,6340
منطقة الرياض,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,47,5132,3167,1965,1172,1103,69,6304
منطقة الباحة,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,1865,1286,787,499,4962,4941,21,6248
منطقة الرياض,تجميع المياه ومعالجتها وتوصيلها,502,1601,990,611,4553,4495,58,6154
منطقة مكة المكرمة,الأنشطة الرياضية وأنشطة التسلية والترفيه,939,2415,993,1422,3729,3135,594,6144
منطقة مكة المكرمة,الصرف الصحي,193,1036,699,337,5107,5091,16,6143
منطقة الباحة,تشييد المباني,1579,555,343,212,5575,5553,22,6130
منطقة حائل,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1732,666,392,274,5446,5436,10,6112
منطقة مكة المكرمة,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,181,2038,1598,440,4071,4047,24,6109
منطقة نجران,النقل البري و النقل عبر الأنابيب,1530,492,270,222,5576,5560,16,6068
المنطقة الشرقية,الأنشطة العقارية,1008,2422,1572,850,3523,3453,70,5945
منطقة مكة المكرمة,الأنشطة الأخرى للتعدين واستغلال المحاجر,285,1475,1090,385,4365,4350,15,5840
منطقة المدينة المنورة,صُنع المواد الكيميائية والمنتجات الكيميائية,101,3663,3435,228,2121,2107,14,5784
منطقة تبوك,أنشطة التشييد المتخصصة,1711,389,179,210,5388,5352,36,5777
منطقة جازان,أنشطة الخدمات الشخصية الأخرى,2353,280,94,186,5435,5007,428,5715
المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,491,4334,864,3470,1356,982,374,5690
منطقة الرياض,الطباعة واستنساخ وسائط الأعلام المسجّلة,589,1849,776,1073,3793,3743,50,5642
منطقة الجوف,أنشطة خدمات الأطعمة والمشروبات,1530,681,367,314,4945,4910,35,5626
منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,778,2053,911,1142,3495,3387,108,5548
منطقة تبوك,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,1311,1225,583,642,4303,4274,29,5528
منطقة الرياض,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,168,1884,1007,877,3633,3616,17,5517
المنطقة الشرقية,الصناعة التحويلية الأخرى,217,1719,1248,471,3784,3750,34,5503
منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,782,89,53,36,5408,5393,15,5497
منطقة مكة المكرمة,صنع فحم الكوك والمنتجات النفطية المكررة,60,3270,3068,202,2152,2136,16,5422
المنطقة الشرقية,أبحاث الإعلان والسوق,1009,1821,966,855,3431,3351,80,5252
منطقة الباحة,أنشطة خدمات الأطعمة والمشروبات,1189,822,512,310,4382,4353,29,5204
منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,1653,457,233,224,4734,4636,98,5191
منطقة مكة المكرمة,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,852,2075,1063,1012,3115,2931,184,5190
منطقة الحدود الشمالية,أنشطة خدمات الأطعمة والمشروبات,1341,506,238,268,4652,4602,50,5158
منطقة مكة المكرمة,صنع المعدات الكهربائية,207,1607,1103,504,3524,3421,103,5131
منطقة جازان,الصحة البشرية,211,1955,505,1450,3164,1414,1750,5119
المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,245,3005,1759,1246,1986,1919,67,4991
منطقة حائل,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,999,1448,684,764,3512,3492,20,4960
